入稿済み,タイムスタンプ,どの企業のESですか（部門も含めて）,いつの代の選考で使われたESですか,いつの選考ですか,出身大学,学部,ESを提出した時のこの企業への志望度を教えてください,このESはES選考を通過しましたか,この企業の最終的な選考結果を教えてください,１ESの質問（文字数まで含めて）,1その答え,2 ESの質問（文字数まで含めて）,2 その答え,3 ESの質問（文字数まで含めて）,3 その答え,4 ESの質問（文字数まで含めて）,4 その答え,5 ESの質問（文字数まで含めて）,5 その答え,6 ESの質問（文字数まで含めて）,6 その答え,7 ESの質問（文字数まで含めて）,7 その答え,8 ESの質問（文字数まで含めて）,8 その答え,9 ESの質問（文字数まで含めて）,9 その答え,10 ESの質問（文字数まで含めて）,10 その答え,11 ESの質問（文字数まで含めて）,11 その答え,12 ESの質問（文字数まで含めて）,12 その答え
,2017/06/12 11:26:11,SoftBank,19卒,夏のインターン,北海道大学,法学部,6,はい,まだ結果が出ていません,あなたがソフトバンクのインターンに参加する目的を教えてください。（600字以内）,"私が貴社のインターンに参加する目的は2つあります。
1点目に、自分に合った業界・職種を見つけるためです。
そのためには、入社後と同様の環境で実務に取り組む必要があると考えます。他企業のインターンのプログラム内容をいくつか拝見したところ、多くが学生同士のグループワークであり、こうした内容では、目標の達成はできないと感じました。貴社のインターンは就労体験型で、社員の方々と一緒に業務に取り組むことができ、業務や社風が自分にフィットするかどうかを判断できる機会だと考えます。
2点目に、自己成長の機会にすることです。
私は、自己成長のためならどんなことでも、粘り強く努力し、克服できる人間です。貴社のインターンは実際の業務に携わるため、求められるスキルが高く、私にとって努力をせざるを得ない、最高の成長環境です。第一線で活躍する社員の方々から、その発想力や行動力に10日間触れ、学ぶことで、今の自分に足りないもの、そして残りの学生生活で努力すべきことを明確にすることができると考えました。",,,,,,,,,,,,,,,,,,,,,,
,2017/06/12 11:29:19,LINE,18卒,本選考,新潟大学,法学部,4,はい,ES通過、webテスト落ちた,学生時代の最大の成果もしくは困難は何ですか。いずれかを選択して教えてください（500文字以内）,"最大の成果は、リーダーとして企画運営を行ったイベントのスタッフに「〇〇のおかげで自分が活躍できる場所を見つけることができた」という言葉をもらったことです。
大学で所属している団体で、リーダーとしてイベントの企画運営を行う機会が何度かあり、その都度スタッフのマネジメントに悩むことが多くありました。特に、初めてリーダーをした新入生向け交流会では、スタッフ約80名に指示を出しながら準備を進めなければなりませんでした。しかし、ほどんどのスタッフが「イベントを成功させたい」とは思っているものの、イベントの準備に対する熱量には大きな差がありました。
この問題を解決するためにはどうすれば良いか考えた結果、スタッフ一人一人と向き合い、「その人らしさ」を最大化できるような役割に分担し直しました。そして、「どうしてあなたにこの役割を担ってほしいのか」を伝えました。
その結果、スタッフ全員が責任感を持って自分の役割を全うしてくれるようになり、イベントを成功させることができました。
そして、リーダーとして、参加者だけでなくスタッフにも活躍の場ややりがいなどといった価値を提供することができました。
",LINEに入社してチャレンジしてみたいことを教えて下さい（300文字以内）,"自分の頭を使って、より多くの人にインパクトを与える新しいサービスを生み出したいです。
LINEでは、すでにLINEファミリーアプリなど、様々なサービスを提供しています。
そこで、今まで提供してきたサービスによって蓄積されたデータやノウハウを活用することで、今までの存在しなかった全く新しいサービスを生み出すことができるのではないかと考えています。
特に、メッセージアプリとしてのLINEは他を圧倒する膨大な量のデータを保有していると思います。
そういったデータを用いて、LINEだから実現可能であり、かつLINEファミリーアプリという形態に捉われない、新しいサービスを生み出したいです。",,,,,,,,,,,,,,,,,,,,
,2017/06/12 11:40:23,日本たばこ産業,18卒,秋・冬のインターン,同志社大学,文学部英文学科,5,はい,12月頭 新規事業立案型インターンシップ参加,タバコに連想するキーワード３つ答えてください。,1.有害 2.リラックス効果 3.嗜好品,JTというとどのワードが浮かびますか？３つ答えてください。,1.専売公社 2.大手企業 3.多様な人材がイキイキと働いている,本ワークショップを申し込もうと思った理由を教えてください。,主にベンチャー企業を志望していて、大手様は見ていなかったのですが、JTさんは大手の中でもベンチャーキャピタルを兼ね備えていらっしゃるとお伺いした為。,あなたが就職活動で企業選びをする際に、企業のどういった点を意識しますか？その理由も含めて記述してください。,"入社後どういった事業や業務に携われるか、その後どういった成長を得られるか。(理由)将来のワークライフバランスを考える際に、女性として
産後復帰してもある一定のポジションで活躍できる人間でありたい、その為にスケールの大きな事業に果敢にチャレンジでき、経験をたくさん積み重ね、早く自己としての市場価値をあげたいと考えているので、「何をできるチャンスがあるのか」は大事にしています。",学生時代に頑張ったこと。,2015年2月から2017年1月までのアルバイト ABCマートアリオ鳳店で実績を出すことです。ABCマートでは、季節ごとにシューケア商品販売強化期間が設けられています。そこでは、靴に付加販売したシューケアの割合を関連率と名付けその割合をエリアごとにランキング化します。平均ノルマの関連率は1.5%、私は2.0〜3.0%維持し続けた結果、堺のエリア７店舗、(1店舗あたりのスタッフを10名と仮定)、総勢70名の中、３期連続売り上げ１位を獲得致しました。,これまでに参加したインターンはなんですか？,plan-B リッチメディア パソナキャリア マイクロアド ドリコム crooz リブセンス :DeNa games osaka,,,,,,,,,,,,
,2017/06/12 11:44:52,フロムスクラッチ,18卒,秋・冬のインターン,新潟大学,法学部,3,はい,インターン選考通過,強み（300字）,"私の強みは、現状に満足せず、より良い成果を求めることができるという点だ。
長期インターンシップに参加した際に、新しいフォトウォークイベントの企画立案という課題が与えられた。既存のイベントの良さを取り込みながらも、新たな価値を提供することのできるイベントであることを最低条件に設定し、課題に取り組んだ。
その中で定期的に社員さんにプレゼンを行い、指摘された部分を改善するだけでなく、評価された点はなぜ評価されたのかを考え、さらに良くすることはできないか、プレゼンの方法も工夫しながら取り組んだ。その結果、新規プロジェクトとして社長に認めていただき、プロジェクトリーダーとして実現につなげることができた。",弱み（300字）,"私の弱みは、役割分担をすることが苦手という点だ。
私は、チームなどで動く際、特に自分がリーダーとして動く時に、役割分担をして取り組むことが苦手で、全て自分でやってしまおうとしてしまう。その結果、チーム内で取り組みに対する気持ちや、情報の共有に差が発生してしまい、自分ひとりで抱え込んでしまうことがある。
現在は、自分ひとりで行動する前にチーム内でそれぞれが考えていることを共有し、目的やプランを統一する時間を設けることを心掛けている。それによって、私自身がチームのメンバーを信頼し役割を割り振って行動できるようになっただけでなく、チームのメンバーに信頼してもらうことができるようになったと感じる。",,,,,,,,,,,,,,,,,,,,
,2017/06/12 13:35:12,NTTドコモ,18卒,夏のインターン,神戸大学,発達科学部,4,はい,ES通過ののち、辞退,"「世界はまだまだつまらない」と思うこと、アイラブ〇〇、誰かに伝えたい感動経験、読み手を笑わせてください、自由（テーマフリー）から一つ選択する
","「世界はまだまだつまらない」と思うこと

授業ってつまらない！そう感じた経験がきっとあるはずです。寝てたり、別の本を読んでいたり、そもそもサボったり。
その姿は大学をみるとかなり顕著です。最前列で脇目も振らず必死に勉強している生徒もいれば、それに対して教室の後ろでゲームしたり寝ている生徒もいる。後者が圧倒的多数です。「大学生は真面目に勉強する気があるのか！」そう言って、個人のやる気のなさを非難する方もいるでしょう。
しかし、私はこの現状の原因が「学習を手段として扱う」今の教育の姿にあると思います。授業中には先生がとりあえず前で話しているのをおとなしく聴く。その後練習問題を宿題でやって、テスト前に復習する。どんな形であれ、点数さえ取れれば気にしない。そんな姿勢が今の学生には染みついているのではないかと思います。",,,,,,,,,,,,,,,,,,,,,,
,2017/06/12 13:54:49,塩野義製薬,19卒,秋・冬のインターン,東北大学,経済学部,5,はい,通過、インターン参加,シオノギへの応募動機200～400,"私が貴社のインターンシップへの志望理由は２つあります。
１つめに人を助ける仕事をしたいと考え、製薬会社に興味を持ったからです。私は人の役に立つ仕事をしたいと考えています。社会には人の役に立つ仕事が様々な形で存在していますが、薬は人々の個人的な問題を解決し、命にも関わるという点で万人に必要とされています。病や悩みを解消するというマイナスの部分をゼロにする仕事で、多くの人に日常の幸せを届けることができ、そのことが自分のやりがいにも繋がると考えました。
２つめに自分の専門分野ではない分野の仕組みや働き方を理解したいと思ったからです。私は今経済学部に在籍しています。理系ではないですが、加速する高齢化社会の中で医療・医薬分野の重要性について考えるようになりました。私は貴社のインターンシップに参加することで、製薬会社や医療業界とのつながりについて学び、また製薬会社での自分の働き方を見つけたいと思います。
",これだけは人に負けたくないと思ってやりぬいた経験200～400,私のこれだけは人に負けたくないと思ってやりぬいた経験は、アルバイト先での凡事徹底と同じミスを繰り返さないことです。私はとても負けず嫌いであり、何事にも責任を持って取り組みたいと考えます。私は大学１年生から飲食店で主にホールスタッフとしてアルバイトをしています。繁忙期で個々の小さなミスが増え、それが蔓延していた時期がありました。そこで私はホールスタッフとして「やってはいけないミス」を①お客様にこぼすこと、②注文ミスをすること、③会計ミスをすることの３つ挙げ、それを自分に課して常に心がけました。またミスをしたときは持ち歩いているメモ帳に書き込み、毎度振り返りました。個々のミスは減らすことができ、またその心がけを他のホールスタッフに伝えたことで店全体でもミスが減るようになりました,就活で興味ある業界400,私が現在考えている就職活動の軸は「人の役に立つ」「自分自身が成長し続けられる」という二点あります。そのため、現在興味のある業界は「医療・製薬業界」「金融業界」「マスメディア業界」です。その中で「人」というのも大切にしたいと考えます。一緒に働く仲間が切磋琢磨でき思い合える仲間かどうか、成長できる環境であるかなどの観点から自分のあった業種、企業を見つけたいと思います。,,,,,,,,,,,,,,,,,,
,2017/06/12 13:58:53,デンソー,18卒,秋・冬のインターン,東北大学,経済学部,5,はい,通過、インターン参加,学生時代に取り組んだ大きなチャレンジ内容について（30）,課題に対し学生なりの意見を提示する高校生フォーラムでの優勝,その目標に取り組んだ理由（200）,まず高校生フォーラムへの参加を志望した理由は、他者の考えに触れることで自分の考えをより高めたいと考えたからです。そこで優勝するという目標を立てた理由は、２つあります。１つ目に１つ上の先輩が成し遂げられなかったことを成し遂げたいと考えたからです。２つめに私たちが優勝することで自分の高校の同級生や後輩に社会問題について考えるきっかけにしてほしいと考えたからです。,その目標を達成するためにどのように考え、行動したか（300）,まず校内代表の５名で意見をまとめる必要がありました。私は話し合いの進行役を務めていました。校内選考の時点で各々が核に関してある程度の知識、意見があり、したがって方向性が異なる意見を折り合わせるのは大変でした。また時間という制約もありました。そこで、それぞれの意見の強み・独創性を洗い出し、それを取り入れることで世界はどうなるかを問いました。５人が集う時間には行うことを決め、限られた時間を充実させることに努めました。また完成度を高めるために客観的な意見が必要だと考え、社会科の先生や先輩に連絡をとり、校内発表をする場を設け、意見を頂戴したり、自らのプレゼンテーションを撮影して改善に繋げました。,結果はどうだったか、得たものはあったか（150）,"本番では各々の意見を融合させた提案を行い、実質２位である優秀校に選ばれました。成すべきことを明確にし、着実に実行してきた結果、全員が満足できるものを作ることができました。また自分の高校の全校生徒の前でも発表を行った結果、次年度のフォーラムへの応募が３倍に増え、後輩に影響を与えられたと満足しています。
他社のインターンシップについて
",,,,,,,,,,,,,,,,
,2017/06/12 14:15:57,東京海上日動,18卒,秋・冬のインターン,関西大学,文学部,3,はい,二次選考,学生時代頑張ったこと,学祭実行委員,,,,,,,,,,,,,,,,,,,,,,
〇,2017/06/12 18:30:14,大阪ガス,18卒,本選考,大阪大学,工学研究科,6,はい,最終前辞退,あなたの研究内容もしくは、これまでに印象に残った実験内容をご記入ください。（300字以内）,私は現在コンピュータ言語を用いて、環境中の水銀濃度を計算する研究を行っています。研究開始当初はコンピュータ言語が全く読めず、研究がなかなか進みませんでしたが、毎日の学びを確実な物にする事によって知識を蓄積していき、進捗スピードを上げました。具体的には、疑問に思う事があればすぐ調べ、その日の疑問を翌日に持ち越さずその日のうちに解決し、必ず学んだ事や調べたことはノートに記すよう心がけました。そうすることによって着実に研究ペースを上げました。私はこの経験から問題を一つ一つ確実に潰していく努力は、期待を裏切らない成果をもたらしてくれることを学びました。そして随時学びを記録する事は今も習慣にしています。,あなたが学生時代にエネルギーを注いだことはどんなことですか？タイトルをつけてください（30文字以内）,"
体育会ラクロス部のボトムアップによる強い組織づくり",あなたが学生時代にエネルギーを注いだことで、創意工夫したこと、挑戦したことなど、具体的にあなた自身がとった行動について説明してください。（300文字以上500文字以内）,私は大学4年生時に100名規模の体育会ラクロス部の副将をしていました。役割としては、チームの上層部員と末端部員のモチベーションの差を無くす事でした。私は後輩各個人にあった目標設定をしてあげることによって後輩のモチベーション管理をし、チーム一丸となり目標に進めるように努めました。具体的には、練習に付いていくだけで精一杯の下級生が、トップメンバーが目指す全国優勝という高い目標に共感出来ていない事でチームの一体感が損なわれていると感じた私は、下級生それぞれに合ったプレーに於ける課題設定をしました。そしてその課題を解決できればチームにどのような貢献ができ、それが全国優勝というチーム目標に近づく足がかりとなることを伝えました。それにより下級生の目の前の課題とチームの大きな目標をリンクさせ、下級生のモチベーション向上を図りました。実際に上記の事を伝えた時に目の色が変わる後輩や、練習に対して消極的で発言量も少なかった後輩が自分の課題を克服するために積極的に周囲とコミュニケーションを取るように成長する姿を目にした時に充足感を感じました。そしてチームは結果として全国準優勝まで上り詰める事が出来ました。,"現在の自分を形成する上で大きな影響を受けた出来事は何ですか？
（成功・失敗体験、感動したこと、出会い、人から言われた言葉、環境変化、乗り越えた壁など）
それぞれの時期について記入してください。（小中・高校・大学各200文字）","小・中学校
私は小学校5年から6年にかけて学年単位でいじめにあっていました。いじめられる前まで明るい性格だった私は、友達が欲しく、今まで話した事のない学年の中で最も大人しい集団に話しかけました。彼らは非常に温かく迎えてくれ、私は友達の大切さを身をもって知りました。中学校に入りいじめはなくなりましたが、私はこの経験から人の心に敏感になり、集団で誰一人としてはぐれ者にしないような雰囲気作りをするようになりました。

高校
私は高校でサッカー部に所属しており、2年生時に自分の存在を監督にアピールしたいと考えた私は、走り込みで誰よりも早く走ることを考えました。メニューの後半になり足が止まってきた私に同級生の一人が近寄ってきて、私に発破をかけてきました。私はその言葉で火が付き、再び全力で走りだす事が出来ました。この時私は自分の限界を突破できたような気がしました。私はこの経験から、共に切磋琢磨出来る仲間の大切さを学びました。

大学
私はラクロス部時代、2年生から試合に出場しており、先輩から好きにプレーしていいと言われていました。私は自由にプレーをしていましたが、結果は大会で1得点、チームは2部降格となりました。私は自分の無力さを感じ、本当にチームの為にプレーできていたのか反省しました。そして、引退式で先輩に頭を下げながら先輩方が誇れるチーム作りをするという事を誓いました。その為に私は自分の引退まで必死に努力をしてきました。
",,,,,,,,,,,,,,,,
,2017/06/12 19:30:12,リクルートホールディングス,17卒,夏のインターン,東京大学,工学部,3,はい,2次面接落ち,"あなたが、これまでに最も成果を上げたことについて、成果・役割・自分自身の具体的な取り組みを教えてください。(800字)
","私が成果を上げた経験は、自分だけの力だけでなくチームの力だがインターン生として金融メディアZUUonlineを運営するZUUの証券口座送客事業部で、1年前の入社時は70万円程度だった月間売上が、今月は10日間だけで300万円を達成していることだ。私はその事業責任者を務めている。
成果をあげる過程ではじめは与えられた仕事を高いレベルでこなすことに専念し、次に与えられた枠を超えた提案を心がけ、人を巻き込むこと、マネジメントすることを意識した。
最初は債券から証券口座開設に結びつけるコンテンツ作成の担当となり、3週間で月目標を達成したので売上インパクトが大きいNISA担当に鞍替えした。
NISAは苦戦した。SEO流入が集客源なのに上位を取れない。なのでNISAから一旦離れ、SEOで勝つために必要なことを分析した。「集客源=SEO」という現状について考え、新規メディアを立ち上げるべきだとの結論に至ったのでプログラマーと2人で立ち上げることにした。
立ち上げ期に広告の知見がある部長が転職してきて、会社の方針として広告を打つ流れになった。ノウハウ共有のため広告勉強会が開かれ、自分もお願いして参加、部長に一番飲み込みが早いと認められ、ZUUonlineの広告運用を任された。月560万円の予算をもらい、広告運用を始めると2週間は赤字で、胃がキリキリして眠れない日々を送ったものの、3週間目には黒字に転じた。今は部長、社長を除く唯一の広告運用者として3メディアの広告を回しつつ、証券口座送客事業の責任者となり、戦略立案と組織管理を行っている。LINEの上場を見据えて3月から戦略を立て動いていたので、今は波に乗り過去最高の売上に迫っている。
",,,,,,,,,,,,,,,,,,,,,,
